method,seed,step,train_loss,test_rmse,grad_norm
rpgd,1,810,0.7278645038604736,0.9403290152549744,0.00510538462549448
rpgd,1,840,0.7198324799537659,0.9396345019340515,0.004842333495616913
rpgd,1,870,0.7125914692878723,0.9392948746681213,0.004580693785101175
rpgd,1,900,0.706087589263916,0.9392377138137817,0.004327790811657906
rpgd,1,930,0.7002500891685486,0.9393920302391052,0.004090419504791498
rpgd,1,960,0.6949999928474426,0.9396956562995911,0.003872465807944536
rpgd,1,990,0.690259575843811,0.9400991201400757,0.0036747828125953674
rpgd,1,1020,0.6859586834907532,0.9405664801597595,0.0034962010104209185
rpgd,1,1050,0.6820371150970459,0.9410731792449951,0.0033346277195960283
rpgd,1,1080,0.6784448027610779,0.9416031837463379,0.003187786089256406
rpgd,1,1110,0.6751399636268616,0.9421464800834656,0.0030535797122865915
rpgd,1,1140,0.6720883846282959,0.942696750164032,0.0029302139300853014
rpgd,1,1170,0.66926109790802,0.9432499408721924,0.002816204447299242
rpgd,1,1200,0.6666341423988342,0.9438035488128662,0.002710336120799184
rpgd,1,1230,0.6641868948936462,0.9443559646606445,0.0026116170920431614
rpgd,1,1260,0.6619018316268921,0.9449055790901184,0.002519231755286455
rpgd,1,1290,0.659763753414154,0.9454514980316162,0.0024325053673237562
rpgd,1,1320,0.6577593684196472,0.9459928870201111,0.0023508735466748476
rpgd,1,1350,0.6558771729469299,0.946528971195221,0.0022738587576895952
rpgd,1,1380,0.6541067957878113,0.9470590353012085,0.0022010523825883865
rpgd,1,1410,0.6524390578269958,0.9475825428962708,0.002132101682946086
rpgd,1,1440,0.6508659720420837,0.9480990171432495,0.002066698158159852
rpgd,1,1470,0.6493801474571228,0.9486081600189209,0.0020045707933604717
rpgd,1,1500,0.647974967956543,0.9491094946861267,0.0019454790744930506
spgd,1,1,1.2668359279632568,1.126183032989502,0.0002502802526578307
spgd,1,30,1.266817331314087,1.1261829137802124,0.00025909862597472966
spgd,1,60,1.2667946815490723,1.1261818408966064,0.00029480759985744953
spgd,1,90,1.2667618989944458,1.1261786222457886,0.00036890478804707527
spgd,1,120,1.2666923999786377,1.126163363456726,0.0005586008192040026
